student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json
1,Claudia Short,20.0,,,+1-619-379-4152-102,Katieland,,2022-09-03 23:22:44,data science,100,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","{'hobbies': ['gun', 'nice'], 'skills': {'tech': {'python': 2, 'excel': 5, 'sql': 1}, 'soft': ['with', 'onto']}, 'family': {'siblings': 4, 'income': {'father': 1198, 'mother': 1089}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2021}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2021}]}"
2,,20.0,female,90.0,,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,data science,100,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,"{hobbies:['against', 'good']}"
3,Kathryn Moyer,20.0,,90.0,,Lake Stevenmouth,,,data science,100,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","{'hobbies': ['fast', 'clearly'], 'skills': {'tech': {'python': 5, 'excel': 3, 'sql': 1}, 'soft': ['despite', 'clearly']}, 'family': {'siblings': 1, 'income': {'father': 263, 'mother': 202}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2023}]}"
4,Ruben Wilson,20.0,female,81.0,,Port Pamelafort,,,data science,100,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","{'hobbies': ['left', 'role'], 'skills': {'tech': {'python': 3, 'excel': 5, 'sql': 1}, 'soft': ['full', 'series']}, 'family': {'siblings': 4, 'income': {'father': 508, 'mother': 698}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}"
5,Robert Pruitt,20.0,female,,001-182-659-5631-02803,Kingburgh,,2023-11-25 00:00:00,data science,100,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['sort', 'science'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 1}, 'soft': ['whose', 'save']}, 'family': {'siblings': 3, 'income': {'father': 862, 'mother': 1058}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}"
6,David Martinez,20.0,male,90.0,001-074-828-6016-937,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,data science,110,pending,,average,85.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","{hobbies:['order', 'keep']}"
7,,18.0,female,71.0,314-018-0928-3134,Sharpfurt,nguyenlisa@horn.org,,data science,100,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","{'hobbies': ['fall', 'teacher'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 4}, 'soft': ['teacher', 'good']}, 'family': {'siblings': 3, 'income': {'father': 1270, 'mother': 931}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2018}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}"
8,Nicholas Dennis,21.0,female,90.0,8091556011,Matthewfort,,2000-06-26 00:00:00,python,63,active,4.5,excellent,135.0,,"70576 Butler Harbor Suite 847, Janetberg",INVALID_JSON_DATA
9,,20.0,female,77.0,854-964-5423,South Paulchester,stacysmith@taylor.biz,,ds,110,active,,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","{'hobbies': ['require', 'open'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 4}, 'soft': ['partner', 'walk']}, 'family': {'siblings': 0, 'income': {'father': 850, 'mother': 1062}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}"
10,Elizabeth Villegas,22.0,female,,(205)467-4476-0583,South Dianatown,anthonywalker@gmail.com,2013-02-11 07:12:29,data science,99,inactive,3.7,average,215.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['management', 'to'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 4}, 'soft': ['beat', 'southern']}, 'family': {'siblings': 3, 'income': {'father': 597, 'mother': 1150}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}"
11,Shawn Baker,19.0,,,9868509629,Zhangstad,,,data science,110,active,3.7,excellent,183.0,2001-06-06 05:29:47,"Apartment 34, North Samantha district, Tashkent, UZ, 100659",INVALID_JSON_DATA
12,,18.0,female,71.0,,Austinside,annalee@gmail.com,2013-01-14 19:16:00,data science,110,inactive,2.0,average,208.0,2003-05-27 00:00:00,"Apartment 13, Morrismouth district, Tashkent, UZ, 100315","{hobbies:['forward', 'like']}"
13,,19.0,female,90.0,(223)573-6311-916,Lesliefurt,,,data science,110,inactive,4.5,excellent,84.0,,"Frankchester 9-kv, dom 20, Tashkent",INVALID_JSON_DATA
14,Thomas Prince,20.0,,,,East Michellestad,aphillips@holland-diaz.org,,python,114,inactive,,excellent,210.0,2013-05-14 00:00:00,UZ 100394 Tashkent Stevensborough,"{hobbies:['understand', 'become']}"
15,,21.0,male,73.0,,Michellebury,kevin65@maxwell.info,1971-03-17 08:30:18,python,110,pending,3.7,good,191.0,1984-10-29 14:14:47,"Davidborough 9-kv, dom 29, Tashkent",INVALID_JSON_DATA
16,Adrian Allen,20.0,female,,,Antoniobury,,,python,110,pending,3.7,excellent,53.0,,"1965 Jacobs Branch Apt. 418, Timburgh","{'hobbies': ['partner', 'race'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 4}, 'soft': ['onto', 'owner']}, 'family': {'siblings': 3, 'income': {'father': 798, 'mother': 626}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}"
17,Stephen Lyons,19.0,,76.0,,New Adam,,2009-10-13 02:20:00,data science,110,active,4.5,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"{'hobbies': ['nothing', 'community'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 5}, 'soft': ['wear', 'will']}, 'family': {'siblings': 1, 'income': {'father': 772, 'mother': 498}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}"
18,Zachary Lyons,18.0,male,68.0,(242)552-5722,Chenport,,2003-09-25 00:00:00,data science,110,inactive,4.5,average,138.0,,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",INVALID_JSON_DATA
19,,20.0,female,50.0,+1-179-099-6883,West Danaville,,1974-02-20 00:00:00,data science,110,active,3.05,excellent,66.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
20,Anthony Hardy,20.0,male,90.0,669-272-8730-1241,Kimport,,1973-05-20 19:05:00,ds,65,pending,4.5,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","{'hobbies': ['certainly', 'defense'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 4}, 'soft': ['medical', 'quality']}, 'family': {'siblings': 4, 'income': {'father': 1220, 'mother': 1220}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2018}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
21,Hector Beltran,20.0,male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,data science,110,active,,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",INVALID_JSON_DATA
22,Tara Nguyen,22.0,,73.0,038-874-2999-225,Brittanychester,rrodriguez@newman.com,2000-06-04 17:46:54,python,78,inactive,4.5,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"{'hobbies': ['create', 'accept'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 1}, 'soft': ['new', 'manager']}, 'family': {'siblings': 3, 'income': {'father': 1140, 'mother': 1117}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2018}]}"
23,Jessica Robinson,22.0,male,90.0,+1-169-715-0937-68300,Jonesfurt,,2010-05-10 12:48:00,ds,81,inactive,3.7,good,261.0,,"0451 James Cliffs Suite 725, Wagnermouth","{hobbies:['type', 'beautiful']}"
24,Latoya Williams,18.0,male,60.0,,North Ashleyborough,,2021-08-06 11:33:00,data science,110,pending,3.7,excellent,148.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","{'hobbies': ['step', 'section'], 'skills': {'tech': {'python': 1, 'excel': 5, 'sql': 3}, 'soft': ['beat', 'popular']}, 'family': {'siblings': 0, 'income': {'father': 1376, 'mother': 871}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}"
25,,21.0,,90.0,,Donnaview,urodriguez@ferrell.com,,data science,100,pending,,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","{'hobbies': ['phone', 'consider'], 'skills': {'tech': {'python': 1, 'excel': 3, 'sql': 2}, 'soft': ['must', 'around']}, 'family': {'siblings': 0, 'income': {'father': 1453, 'mother': 206}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2019}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2020}]}"
26,,21.0,female,90.0,,Harrisbury,,2022-07-18 17:43:00,ds,96,pending,,good,299.0,,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","{'hobbies': ['tough', 'role'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 2}, 'soft': ['south', 'his']}, 'family': {'siblings': 1, 'income': {'father': 623, 'mother': 577}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}"
27,Emily Cummings,22.0,female,59.0,,East Dariuston,,2023-04-28 18:06:01,python,100,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","{""hobbies"": [""billion"", ""feeling""], ""skills"": {""tech"": {""python"": 3, ""excel"": 1, ""sql"": 3}, ""soft"": [""thought"", ""particularly""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 303, ""mother"": 1245}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2023}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2023}]}"
