,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills_python,skills_excel,skills_sql,skills_soft,family_siblings,family_income_father,family_income_mother,devices_laptop_brand,devices_laptop_year,devices_phone_brand,devices_phone_year,addr_city,addr_district,addr_postal
0,1,Claudia Short,20.0,,,,Katieland,,2022-09-03 23:22:44,data science,100,active,3.72,good,135.0,2021-08-18 18:53:50,"Apartment 37, South Kevin district, Tashkent, UZ, 100539","gun, nice",2.0,5.0,1.0,"with, onto",4.0,1198.0,1089.0,HP,2021.0,Xiaomi,2021.0,Tashkent,South Kevin,100539
1,2,,20.0,female,90.0,,Dawnburgh,psmith@chen.com,2017-08-29 00:00:00,data science,100,active,1.88,excellent,152.0,2001-11-10 04:19:00,UZ 100332 Tashkent South Patricia,"against, good",,,,,,,,,,,,Tashkent,South Patricia,100332
2,3,Kathryn Moyer,20.0,,90.0,,Lake Stevenmouth,,,data science,100,pending,,excellent,185.0,2022-07-14 22:27:02,"Wendyshire 12-kv, dom 1, Tashkent","fast, clearly",5.0,3.0,1.0,"despite, clearly",1.0,263.0,202.0,HP,2020.0,Samsung,2023.0,Tashkent,Wendyshire,
3,4,Ruben Wilson,20.0,female,81.0,,Port Pamelafort,,,data science,100,inactive,0.0,good,175.0,2023-04-29 19:05:30,"Apartment 16, North Tamara district, Tashkent, UZ, 100097","left, role",3.0,5.0,1.0,"full, series",4.0,508.0,698.0,Lenovo,2020.0,Samsung,2024.0,Tashkent,North Tamara,100097
4,5,Robert Pruitt,20.0,female,,,Kingburgh,,2023-11-25 00:00:00,data science,100,pending,4.37,average,282.0,2013-10-13 00:00:00,"BROKEN,ADDRESS,DATA,,,","sort, science",1.0,4.0,1.0,"whose, save",3.0,862.0,1058.0,Lenovo,2023.0,Apple,2022.0,,,
5,6,David Martinez,20.0,male,90.0,,Hugheshaven,nathangibbs@hotmail.com,2020-10-23 22:54:07,data science,110,pending,,average,85.0,1983-04-30 01:46:36,"Apartment 42, North Jamesfurt district, Tashkent, UZ, 100551","order, keep",,,,,,,,,,,,Tashkent,North Jamesfurt,100551
6,7,,18.0,female,71.0,,Sharpfurt,nguyenlisa@horn.org,,data science,100,active,0.0,excellent,275.0,2004-11-19 23:42:00,"Lake Tracishire 29-kv, dom 8, Tashkent","fall, teacher",4.0,1.0,4.0,"teacher, good",3.0,1270.0,931.0,HP,2018.0,Xiaomi,2023.0,Tashkent,Lake,
7,8,Nicholas Dennis,21.0,female,90.0,+1-809-155-6011,Matthewfort,,2000-06-26 00:00:00,python,63,active,4.5,excellent,135.0,,"70576 Butler Harbor Suite 847, Janetberg",,,,,,,,,,,,,Janetberg,,
8,9,,20.0,female,77.0,+1-854-964-5423,South Paulchester,stacysmith@taylor.biz,,ds,110,active,,excellent,104.0,1995-10-20 00:00:00,"Williamsborough 2-kv, dom 18, Tashkent","require, open",1.0,5.0,4.0,"partner, walk",0.0,850.0,1062.0,Dell,2019.0,Apple,2020.0,Tashkent,Williamsborough,
9,10,Elizabeth Villegas,22.0,female,,,South Dianatown,anthonywalker@gmail.com,2013-02-11 07:12:29,data science,99,inactive,3.7,average,215.0,2014-12-16 06:44:51,"BROKEN,ADDRESS,DATA,,,","management, to",1.0,1.0,4.0,"beat, southern",3.0,597.0,1150.0,Dell,2016.0,Xiaomi,2023.0,,,
